CSV: data/binary008.csv
Reliability(all): 0.900000
Gridsize: 4
Maxlevel: 10
Number of circles: 105

Progress (level 4): 280 / 1132 (24.700000%) ETA: 496.690000s
Progress (level 4): 281 / 1132 (24.800000%) ETA: 494.350000s
Progress (level 4): 282 / 1133 (24.900000%) ETA: 492.610000s
Progress (level 4): 283 / 1134 (25.000000%) ETA: 490.870000s
Progress (level 4): 284 / 1136 (25.000000%) ETA: 489.740000s
Progress (level 4): 285 / 1136 (25.100000%) ETA: 487.470000s
Progress (level 4): 286 / 1137 (25.200000%) ETA: 485.770000s
Progress (level 4): 287 / 1138 (25.200000%) ETA: 484.080000s
Progress (level 4): 288 / 1142 (25.200000%) ETA: 484.100000s
Progress (level 4): 289 / 1142 (25.300000%) ETA: 481.870000s
Progress (level 4): 290 / 1146 (25.300000%) ETA: 481.900000s
Progress (level 4): 291 / 1146 (25.400000%) ETA: 479.680000s
Progress (level 4): 292 / 1146 (25.500000%) ETA: 477.580000s
Progress (level 4): 293 / 1148 (25.500000%) ETA: 476.510000s
Progress (level 4): 294 / 1149 (25.600000%) ETA: 474.990000s
Progress (level 4): 295 / 1150 (25.700000%) ETA: 473.730000s
Progress (level 4): 296 / 1150 (25.700000%) ETA: 471.680000s
Progress (level 4): 297 / 1152 (25.800000%) ETA: 470.710000s
Progress (level 4): 298 / 1152 (25.900000%) ETA: 468.620000s
Progress (level 4): 299 / 1152 (26.000000%) ETA: 466.510000s
Progress (level 4): 300 / 1158 (25.900000%) ETA: 468.010000s
Progress (level 4): 301 / 1159 (26.000000%) ETA: 466.560000s
Progress (level 4): 302 / 1159 (26.100000%) ETA: 464.660000s
Progress (level 4): 303 / 1159 (26.100000%) ETA: 463.160000s
Progress (level 4): 304 / 1159 (26.200000%) ETA: 461.180000s
Progress (level 4): 305 / 1159 (26.300000%) ETA: 460.190000s
Progress (level 4): 306 / 1159 (26.400000%) ETA: 458.600000s
Progress (level 4): 307 / 1159 (26.500000%) ETA: 456.650000s
Progress (level 4): 308 / 1159 (26.600000%) ETA: 455.050000s
Progress (level 4): 309 / 1161 (26.600000%) ETA: 455.870000s
Progress (level 4): 310 / 1161 (26.700000%) ETA: 454.230000s
Progress (level 4): 311 / 1161 (26.800000%) ETA: 452.440000s
Progress (level 4): 312 / 1161 (26.900000%) ETA: 450.490000s
Progress (level 4): 313 / 1161 (27.000000%) ETA: 448.540000s
Progress (level 4): 314 / 1161 (27.000000%) ETA: 446.660000s
